current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance	filename
1998-07-01	1997-07-01	stem_ep	0.16	2000-07-01	1999-07-01	0	43688	7129.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1999-07-01	1998-07-01	stem_ep	0.44	1999-07-01	1998-07-01	0	47961	20964.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1999-07-01	1998-07-01	stem_ep	0.37	2000-07-01	1999-07-01	0	55626	20612.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1999-07-01	1998-07-01	stem_ep	0.37	2001-07-01	2000-07-01	0	47742	17734.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2000-07-01	1999-07-01	stem_ep	0.25	2000-07-01	1999-07-01	0	64516	15922.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2000-07-01	1999-07-01	stem_ep	0.26	2001-07-01	2000-07-01	0	55372	14556.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2000-07-01	1999-07-01	stem_ep	0.74	2002-07-01	2001-07-01	0	93726	69216.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2001-07-01	2000-07-01	stem_ep	0.27	2001-07-01	2000-07-01	0	47524	13022.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2001-07-01	2000-07-01	stem_ep	0.71	2002-07-01	2001-07-01	0	80442	56967.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2001-07-01	2000-07-01	stem_ep	0.66	2003-07-01	2002-07-01	0	75864	50036.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2002-07-01	2001-07-01	stem_ep	0.64	2002-07-01	2001-07-01	0	136161	87486.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2002-07-01	2001-07-01	stem_ep	0.97	2003-07-01	2002-07-01	0	128412	124404.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2002-07-01	2001-07-01	stem_ep	0.89	2004-07-01	2003-07-01	0	166419	148133.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2003-07-01	2002-07-01	stem_ep	0.88	2003-07-01	2002-07-01	0	121104	106570.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2003-07-01	2002-07-01	stem_ep	0.76	2004-07-01	2003-07-01	0	156948	118504.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2003-07-01	2002-07-01	stem_ep	1.41	2005-07-01	2004-07-01	0	172608	242821.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2004-07-01	2003-07-01	stem_ep	0.4	2004-07-01	2003-07-01	0	203401	80348.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2004-07-01	2003-07-01	stem_ep	1.02	2005-07-01	2004-07-01	0	223696	227778.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2004-07-01	2003-07-01	stem_ep	1.39	2006-07-01	2005-07-01	0	206107	285879.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2005-07-01	2004-07-01	stem_ep	0.82	2005-07-01	2004-07-01	0	246016	200902.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2005-07-01	2004-07-01	stem_ep	0.81	2006-07-01	2005-07-01	0	226672	183897.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2005-07-01	2004-07-01	stem_ep	1.3	2007-07-01	2006-07-01	0	250480	325657.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2006-07-01	2005-07-01	stem_ep	0.56	2006-07-01	2005-07-01	0	208849	117046.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2006-07-01	2005-07-01	stem_ep	0.87	2007-07-01	2006-07-01	0	230785	199832.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2006-07-01	2005-07-01	stem_ep	1.18	2008-07-01	2007-07-01	0	215247	254371.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2007-07-01	2006-07-01	stem_ep	0.59	2007-07-01	2006-07-01	0	255025	151252.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2007-07-01	2006-07-01	stem_ep	0.72	2008-07-01	2007-07-01	0	237855	170184.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2007-07-01	2006-07-01	stem_ep	1.18	2009-07-01	2008-07-01	0	253510	299544.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2008-07-01	2007-07-01	stem_ep	0.63	2008-07-01	2007-07-01	0	221841	140794.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2008-07-01	2007-07-01	stem_ep	0.79	2009-07-01	2008-07-01	0	236442	187373.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2008-07-01	2007-07-01	stem_ep	0.86	2010-07-01	2009-07-01	0	178038	153137.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2009-07-01	2008-07-01	stem_ep	0.3	2009-07-01	2008-07-01	0	252004	76796.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2009-07-01	2008-07-01	stem_ep	0.24	2010-07-01	2009-07-01	0	189756	44784.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2009-07-01	2008-07-01	stem_ep	0.31	2011-07-01	2010-07-01	0	272084	83832.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2010-07-01	2009-07-01	stem_ep	0.14	2010-07-01	2009-07-01	0	142884	19470.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2010-07-01	2009-07-01	stem_ep	0.21	2011-07-01	2010-07-01	0	204876	42547.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2010-07-01	2009-07-01	stem_ep	0.1	2012-07-01	2011-07-01	0	202986	19948.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2011-07-01	2010-07-01	stem_ep	0.26	2011-07-01	2010-07-01	0	293764	75118.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2011-07-01	2010-07-01	stem_ep	0.17	2012-07-01	2011-07-01	0	291054	48506.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2011-07-01	2010-07-01	stem_ep	0.29	2013-07-01	2012-07-01	0	305688	88460.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2012-07-01	2011-07-01	stem_ep	0.06	2012-07-01	2011-07-01	0	288369	17018.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2012-07-01	2011-07-01	stem_ep	0.21	2013-07-01	2012-07-01	0	302868	63428.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2012-07-01	2011-07-01	stem_ep	0.57	2014-07-01	2013-07-01	0	306627	173888.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2013-07-01	2012-07-01	stem_ep	0.32	2013-07-01	2012-07-01	0	318096	101226.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2013-07-01	2012-07-01	stem_ep	0.62	2014-07-01	2013-07-01	0	322044	198534.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2013-07-01	2012-07-01	stem_ep	0.49	2015-07-01	2014-07-01	0	332196	161290.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2014-07-01	2013-07-01	stem_ep	0.79	2014-07-01	2013-07-01	0	326041	257702.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2014-07-01	2013-07-01	stem_ep	0.75	2015-07-01	2014-07-01	0	336319	250908.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
